te	!
bz	%
ke	(
id	)
kf	0
;d	1
;f	2
ha	3
ud	4
ld	5
if	6
he	7
kt	8
kv	9
3.	?
jf.z	　
jd	、
hf	。
jfjd	，
jfhf	．
lf	・
jfmw	：
jfmq	；
jf6f	゛
jf6r	゜
jf6d	´
jf6e	｀
jf6s	¨
jf6w	＾
jf6q	￣
jf6a	＿
jfmx	ヽ
jfmz	ヾ
jfmv	ゝ
jfmc	ゞ
jfmd	〃
jfms	仝
fw	々
jfma	〆
ka	〇
hs	ー
kc	—
jfmb	‐
jfmf	／
jfmg	＼
,m	〜
jfmt	‖
jfmr	｜
jflf	…
jfme	‥
jf,x	‘
jf,c	’
jf,z	“
jf,v	”
jf,q	〔
jf,r	〕
jf,1	［
jf,4	］
jf,2	｛
jf,3	｝
jf,s	〈
jf,d	〉
jf,a	《
jf,f	》
,g	「
jv	」
jf,g	『
jfjv	』
jf,w	【
jf,e	】
jf8f	＋
jf8a	−
jf8b	±
jf8d	×
jf8s	÷
jf8g	＝
jf8t	≠
jf8q	＜
jf8r	＞
jf8w	≦
jf8e	≧
jf9t	∞
jf9r	∴
jf9e	♂
jf9w	♀
jf7r	°
jf7e	′
jf7w	″
jf7q	℃
jf7f	￥
jf7d	＄
jf7s	¢
jf7a	£
jf.1	＃
jf.2	＆
jf.3	＊
jf.4	＠
jf/g	§
jf.a	☆
jf/a	★
jf.f	○
jf/f	●
jf.v	◎
jf.c	◇
jf/c	◆
jf.d	□
jf/d	■
jf.s	△
jf/s	▲
jf.x	▽
jf/x	▼
jf/v	※
jf/b	〒
jf/r	→
jf/q	←
jf/e	↑
jf/w	↓
jf/z	〓
jf0a	∈
jf0s	∋
jf0w	⊆
jf0e	⊇
jf0q	⊂
jf0r	⊃
jf0f	∪
jf0d	∩
jf0c	∧
jf0v	∨
jf0b	¬
jf0t	⇒
jf0g	⇔
jf0x	∀
jf0z	∃
jf9d	∠
jf9s	⊥
jf9a	⌒
jf9v	∂
jf9c	∇
jf8c	≡
jf8x	≒
jf8z	≪
jf8v	≫
jf9q	√
jf9g	∽
jf9b	∝
jf9f	∵
jf9x	∫
jf9z	∬
jf7t	Å
jf7g	‰
jf.e	♯
jf.w	♭
jf.q	♪
jf.r	†
jf.t	‡
jf/t	¶
jf.g	◯
fj4q	Ａ
fj4w	Ｂ
fj4e	Ｃ
fj4r	Ｄ
fj4t	Ｅ
fj4y	Ｆ
fj4u	Ｇ
fj4i	Ｈ
fj4o	Ｉ
fj4p	Ｊ
fj4a	Ｋ
fj4s	Ｌ
fj4d	Ｍ
fj4f	Ｎ
fj4g	Ｏ
fj4h	Ｐ
fj4j	Ｑ
fj4k	Ｒ
fj4l	Ｓ
fj4;	Ｔ
fj4z	Ｕ
fj4x	Ｖ
fj4c	Ｗ
fj4v	Ｘ
fj4b	Ｙ
fj4n	Ｚ
fj7q	ａ
fj7w	ｂ
fj7e	ｃ
fj7r	ｄ
fj7t	ｅ
fj7y	ｆ
fj7u	ｇ
fj7i	ｈ
fj7o	ｉ
fj7p	ｊ
fj7a	ｋ
fj7s	ｌ
fj7d	ｍ
fj7f	ｎ
fj7g	ｏ
fj7h	ｐ
fj7j	ｑ
fj7k	ｒ
fj7l	ｓ
fj7;	ｔ
fj7z	ｕ
fj7x	ｖ
fj7c	ｗ
fj7v	ｘ
fj7b	ｙ
fj7n	ｚ
1z	ぁ
yf	あ
1x	ぃ
hd	い
1c	ぅ
yd	う
1v	ぇ
lt	え
1b	ぉ
oa	お
je	か
;s	が
hr	き
qf	ぎ
jt	く
dt	ぐ
nf	け
/z	げ
uf	こ
/k	ご
ug	さ
fo	ざ
js	し
ux	じ
,f	す
,z	ず
uw	せ
;3	ぜ
;b	そ
.u	ぞ
ks	た
hc	だ
/a	ち
8v	ぢ
jr	っ
.d	つ
ek	づ
la	て
hg	で
ja	と
kq	ど
lg	な
kg	に
a.	ぬ
fd	ね
kd	の
jg	は
,w	ば
1a	ぱ
m.	ひ
jo	び
1s	ぴ
rs	ふ
sb	ぶ
1d	ぷ
;;	へ
yl	べ
1f	ぺ
pz	ほ
cm	ぼ
1g	ぽ
md	ま
/g	み
yh	む
lc	め
ia	も
tt	ゃ
ye	や
q.	ゅ
cc	ゆ
,.	ょ
jw	よ
ig	ら
jc	り
;a	る
;e	れ
ps	ろ
a1	ゎ
ys	わ
s1	ゐ
d1	ゑ
;g	を
nd	ん
zi	ァ
;w	ア
po	ィ
mf	イ
1w	ゥ
.x	ウ
td	ェ
kk	エ
mu	ォ
/c	オ
jx	カ
mk	ガ
yw	キ
bx	ギ
ms	ク
/x	グ
yj	ケ
tn	ゲ
yr	コ
mj	ゴ
nt	サ
g,	ザ
pg	シ
;z	ジ
ua	ス
//	ズ
hi	セ
vn	ゼ
il	ソ
u;	ゾ
ie	タ
ok	ダ
/r	チ
1r	ヂ
na	ッ
ki	ツ
1t	ヅ
.e	テ
hk	デ
le	ト
jz	ド
yt	ナ
ov	ニ
k/	ヌ
mm	ネ
nl	ノ
lm	ハ
yc	バ
,t	パ
za	ヒ
,v	ビ
m/	ピ
/s	フ
,h	ブ
mw	プ
m3	ヘ
;j	ベ
rt	ペ
nh	ホ
sg	ボ
k,	ポ
it	マ
;,	ミ
ub	ム
,x	メ
yo	モ
;o	ャ
nn	ヤ
.w	ュ
o.	ユ
.;	ョ
zz	ヨ
us	ラ
pd	リ
kw	ル
;q	レ
ns	ロ
q1	ヮ
oi	ワ
w1	ヰ
e1	ヱ
1q	ヲ
,d	ン
1e	ヴ
r1	ヵ
t1	ヶ
fj3q	Α
fj3w	Β
fj3e	Γ
fj3r	Δ
fj3t	Ε
fj3y	Ζ
fj3u	Η
fj3i	Θ
fj3o	Ι
fj3p	Κ
fj3a	Λ
fj3s	Μ
fj3d	Ν
fj3f	Ξ
fj3g	Ο
fj3h	Π
fj3j	Ρ
fj3k	Σ
fj3l	Τ
fj3;	Υ
fj3z	Φ
fj3x	Χ
fj3c	Ψ
fj3v	Ω
fj8q	α
fj8w	β
fj8e	γ
fj8r	δ
fj8t	ε
fj8y	ζ
fj8u	η
fj8i	θ
fj8o	ι
fj8p	κ
fj8a	λ
fj8s	μ
fj8d	ν
fj8f	ξ
fj8g	ο
fj8h	π
fj8j	ρ
fj8k	σ
fj8l	τ
fj8;	υ
fj8z	φ
fj8x	χ
fj8c	ψ
fj8v	ω
fj5q	А
fj5w	Б
fj5e	В
fj5r	Г
fj5t	Д
fj5y	Е
fj5u	Ё
fj5i	Ж
fj5o	З
fj5p	И
fj5a	Й
fj5s	К
fj5d	Л
fj5f	М
fj5g	Н
fj5h	О
fj5j	П
fj5k	Р
fj5l	С
fj5;	Т
fj5z	У
fj5x	Ф
fj5c	Х
fj5v	Ц
fj5b	Ч
fj5n	Ш
fj5m	Щ
fj5,	Ъ
fj5.	Ы
fj5/	Ь
fj51	Э
fj52	Ю
fj53	Я
fj6q	а
fj6w	б
fj6e	в
fj6r	г
fj6t	д
fj6y	е
fj6u	ё
fj6i	ж
fj6o	з
fj6p	и
fj6a	й
fj6s	к
fj6d	л
fj6f	м
fj6g	н
fj6h	о
fj6j	п
fj6k	р
fj6l	с
fj6;	т
fj6z	у
fj6x	ф
fj6c	х
fj6v	ц
fj6b	ч
fj6n	ш
fj6m	щ
fj6,	ъ
fj6.	ы
fj6/	ь
fj61	э
fj62	ю
fj63	я
jf3k	─
jf3j	│
jf3y	┌
jf3p	┐
jf3/	┘
jf3n	└
jf3h	├
jf3i	┬
jf3;	┤
jf3,	┴
jf3l	┼
jf2k	━
jf2j	┃
jf2y	┏
jf2p	┓
jf2/	┛
jf2n	┗
jf2h	┣
jf2i	┳
jf2;	┫
jf2,	┻
jf2l	╋
jf1h	┠
jf1i	┯
jf1;	┨
jf1,	┷
jf1l	┿
jf4h	┝
jf4i	┰
jf4;	┥
jf4,	┸
jf4l	╂
g6	亜
fjtt	唖
fjtr	娃
5l	阿
2q	哀
fh	愛
fjte	挨
fjtw	姶
2w	逢
fjtq	葵
fjtg	茜
fjtf	穐
xp	悪
jftt	握
fjtd	渥
fjts	旭
fjta	葦
fjtb	芦
fjtv	鯵
fjtc	梓
i4	圧
fjtx	斡
w9	扱
2e	宛
fjtz	姐
fjrt	虻
fjrr	飴
fjre	絢
fjrw	綾
fjrq	鮎
fjrg	或
fjrf	粟
fjrd	袷
lu	安
2t	庵
fjrs	按
jfyt	暗
ae	案
fjra	闇
fjrb	鞍
fjrv	杏
j/	以
sx	伊
gq	位
n1	依
jftr	偉
2r	囲
fjrc	夷
nv	委
jfte	威
jftw	尉
fjrx	惟
.n	意
2a	慰
8r	易
fjrz	椅
2s	為
fjet	畏
8w	異
r6	移
f7	維
jftq	緯
2g	胃
fjer	萎
0c	衣
fjee	謂
sp	違
t0	遺
on	医
ky	井
fjew	亥
l2	域
ff	育
fjeq	郁
fjeg	磯
ls	一
jftg	壱
fjef	溢
jftf	逸
9q	稲
fjed	茨
jftd	芋
fjes	鰯
fjea	允
go	印
fjeb	咽
jq	員
ct	因
jfts	姻
fe	引
jfyr	飲
fjev	淫
fjec	胤
fjex	蔭
gc	院
2d	陰
2f	隠
jfta	韻
fjez	吋
tl	右
vr	宇
fjwt	烏
un	羽
fjwr	迂
tx	雨
fjwe	卯
fjww	鵜
fjwq	窺
q2	丑
fjwg	碓
w2	臼
jftb	渦
fjwf	嘘
fjwd	唄
fjws	欝
fjwa	蔚
fjwb	鰻
fjwv	姥
fjwc	厩
i.	浦
fjwx	瓜
fjwz	閏
fjqt	噂
fjqr	云
ji	運
4;	雲
fjqe	荏
fjqw	餌
fjqq	叡
l/	営
fjqg	嬰
9b	影
j;	映
t2	曳
f,	栄
xj	永
jfye	泳
fjqf	洩
fjqd	瑛
fjqs	盈
fjqa	穎
fjqb	頴
ag	英
d;	衛
jftv	詠
jftc	鋭
jfyw	液
jftx	疫
h2	益
oh	駅
jftz	悦
jfrt	謁
th	越
jfrr	閲
fjqv	榎
fjqc	厭
kz	円
ra	園
fjqx	堰
fjqz	奄
e2	宴
8t	延
fjgt	怨
fjgr	掩
j2	援
jfyq	沿
;p	演
jfre	炎
fjge	焔
jfrw	煙
fjgw	燕
jfrq	猿
r2	縁
fjgq	艶
fjgg	苑
fjgf	薗
nu	遠
jfrg	鉛
fjgd	鴛
r7	塩
a2	於
s2	汚
fjgs	甥
jfrf	凹
cb	央
xt	奥
jfyg	往
gw	応
p5	押
fjga	旺
ar	横
s6	欧
jfrd	殴
sw	王
jfrs	翁
fjgb	襖
fjgv	鴬
fjgc	鴎
e4	黄
sa	岡
jfra	沖
fjgx	荻
an	億
ip	屋
jfrb	憶
fjgz	臆
fjft	桶
fjfr	牡
d2	乙
fjfe	俺
4l	卸
jfyf	恩
l1	温
f2	穏
aw	音
,b	下
mv	化
jfyd	仮
co	何
fjfw	伽
..	価
jfrv	佳
dg	加
l;	可
fjfq	嘉
xq	夏
jfrc	嫁
mq	家
jfrx	寡
gs	科
3q	暇
qq	果
jfrz	架
jfys	歌
q;	河
tf	火
fjfg	珂
jfet	禍
fjff	禾
jfer	稼
jfee	箇
d,	花
fjfd	苛
fjfs	茄
jfya	荷
i,	華
jfew	菓
fjfa	蝦
c;	課
fjfb	嘩
4j	貨
fjfv	迦
c/	過
fjfc	霞
jfeq	蚊
fjfx	俄
fjfz	峨
3a	我
3w	牙
;u	画
fjdt	臥
jfyb	芽
fjdr	蛾
u2	賀
jfeg	雅
jfef	餓
fjde	駕
e,	介
kb	会
op	解
uq	回
jfed	塊
3e	壊
fjdw	廻
1i	快
jfes	怪
jfea	悔
fjdq	恢
jfeb	懐
jfev	戒
jfec	拐
du	改
fjdg	魁
fjdf	晦
qx	械
nz	海
